,TripId,TripId_raw,VehId,Aggressivity,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm],Weight,Displacement,SpeedAverage,SpeedVariance,Air Temperature[F],Precipitation Level[mm],Normalized PKE 1,Normalized PKE 2
2810,4185,1145,500,376.89481792973993,4520.396912899671,3.40125,0.7809267577316351,0.2295999287707858,4500.0,3.5,21.856862745098038,560.7397858160946,-8.08,0.0,45.62498837274199,6.295169223571497
2811,4186,2171,340,463.25941716393805,5602.043863432762,3.3487777777777774,0.6045895205202476,0.180540352522719,3500.0,3.5,34.99,659.4748640915594,12.0,0.0,64.52690664203739,7.029467483350442
2812,4187,871,507,367.7640577786174,3609.7693597353746,5.5172500000000015,0.6496158226319758,0.11774268387910199,4000.0,2.4,42.50173010380623,460.813365051903,17.54,0.0,17.17460892020444,2.797838265562219
2813,4188,1455,366,647.7024282248719,4401.43555115214,13.065055555555556,2.238122809278,0.171306030790378,4500.0,3.5,37.14674735249622,415.0344931921331,-14.03,0.0,67.02588466341219,8.706455121226737
2814,4189,1224,273,235.6045752088773,6696.826160743686,3.2899166666666666,0.516406609894853,0.1569664712565727,3000.0,2.0,35.91858887381275,523.3330371364522,-5.48,0.0,44.4230974306435,7.882705514226957
2815,4190,873,507,785.7368947291244,4492.133260076919,4.449111111111111,0.5329498031689711,0.1197879283882108,4000.0,2.4,40.40995762711864,629.697079955785,7.86,0.0,55.48186967483619,6.304757917595022
2816,4191,2253,135,217.28681072604004,4573.573964277085,4.483583333333334,0.553253336847471,0.1233953504854683,3500.0,2.5,42.98355263157895,488.8959399115582,6.92,0.0,116.34679427406215,16.984933470666007
2817,4192,2717,531,344.04823228168686,7212.148481439819,1.7286111111111107,0.1731543545987088,0.1001696410984014,2500.0,1.5,46.559398496240604,620.355276746082,-11.55,0.0,70.05218232712444,8.55943063804093
2818,4193,1192,244,304.9032655487373,5118.643142180631,7.121027777777778,0.9872649293179444,0.1386407917686897,3500.0,2.5,37.66358381502889,282.14586800482755,11.17,0.0,27.897546942636467,4.235049294906259
2819,4194,1531,480,305.02667283811587,5350.488508768062,8.191027777777778,1.0793036274112056,0.131766569067114,3500.0,2.4,26.131744919411357,279.8690266165152,3.69,0.0,170.1997924658347,23.777912182726908
2820,4195,791,147,377.5233992874697,4633.227950898801,6.071361111111113,0.6796325140897008,0.1119407166946329,3500.0,2.4,43.225700164744644,562.3862691046699,11.01,0.0,25.967031620545022,3.3133452587415992
